epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3478,0.78583,1.52047,1.17566,0.57856,0.85,0.87867,0.69087,0.63494,1.63115,1.06776,1.37465,0,0,0
2,2.71504,0.86577,2.19051,1.21242,0.56773,0.85,0.87776,0.69086,0.63475,1.64857,1.06062,1.37651,1.07219e-06,1.07219e-06,1.07219e-06
3,4.03704,1.14069,1.91855,1.5186,0.60111,0.85,0.84961,0.69085,0.65011,1.64263,1.04669,1.37339,1.90876e-06,1.90876e-06,1.90876e-06
4,5.47377,1.08821,1.62067,1.41163,0.61257,0.85,0.85071,0.69085,0.65022,1.64649,1.04857,1.37397,2.50971e-06,2.50971e-06,2.50971e-06
5,6.96947,0.95153,2.07345,1.37507,0.6191,0.85,0.87377,0.69086,0.65347,1.62689,1.04666,1.36123,2.87504e-06,2.87504e-06,2.87504e-06
6,8.48205,1.06026,1.56993,1.47348,0.63118,0.85,0.85215,0.69085,0.65144,1.61095,1.02265,1.3457,3.00475e-06,3.00475e-06,3.00475e-06
7,10.199,0.94014,1.58326,1.31024,0.63843,0.85,0.85123,0.69085,0.65061,1.60387,1.03138,1.34461,2.89884e-06,2.89884e-06,2.89884e-06
8,12.2,1.0525,1.8757,1.43909,0.65058,0.85,0.85322,0.69085,0.65078,1.59892,1.03072,1.34048,2.55731e-06,2.55731e-06,2.55731e-06
9,14.1816,1.07287,1.64203,1.41727,0.65205,0.85,0.85443,0.69085,0.64268,1.58449,1.02671,1.33259,1.98016e-06,1.98016e-06,1.98016e-06
10,16.0537,0.9361,1.48387,1.23716,0.65735,0.85,0.86172,0.69601,0.64586,1.55833,1.01806,1.3199,1.16739e-06,1.16739e-06,1.16739e-06
